, sample_no, plate_id, Eta.V_ave, Ni.PM.Loading, Fe.PM.Loading, Co.PM.Loading, Ta.PM.Loading, Mn.PM.Loading, Cu.PM.Loading
100, 103, 3851, 0.45012, 0.4, 0, 0.2, 0, 0.2, 0.2
101, 104, 3851, 0.482354, 0, 0, 0, 0.2, 0.8, 0
102, 105, 3851, 0.428565, 0, 0, 0, 0, 0.8, 0.2
103, 106, 3851, 0.429999, 0, 0.2, 0.4, 0, 0.2, 0.2
104, 107, 3851, 0.406489, 0.2, 0.2, 0.2, 0, 0, 0.4
105, 108, 3851, 0.430861, 0.2, 0, 0.4, 0.2, 0.2, 0
106, 109, 3851, 0.449056, 0.4, 0, 0.2, 0.2, 0, 0.2
107, 110, 3851, 0.436874, 0.1, 0.4, 0, 0.5, 0, 0
108, 111, 3851, 0.385363, 0.2, 0.7, 0, 0, 0, 0.1
109, 112, 3851, 0.447019, 0, 0.4, 0.1, 0.5, 0, 0
110, 113, 3851, 0.458836, 0, 0, 0.1, 0.1, 0.4, 0.4
111, 114, 3851, 0.421035, 0, 0.3, 0.4, 0.1, 0.2, 0
112, 115, 3851, 0.441462, 0.4, 0, 0.1, 0.2, 0.3, 0
113, 116, 3851, 0.44991, 0.3, 0, 0.2, 0, 0.2, 0.3
114, 117, 3851, 0.434056, 0, 0, 0.5, 0.1, 0, 0.4
115, 118, 3851, 0.373003, 0.6, 0.3, 0, 0.1, 0, 0
116, 119, 3851, 0.435762, 0.4, 0, 0, 0, 0.6, 0
117, 120, 3851, 0.431623, 0, 0.3, 0.1, 0, 0.2, 0.4
118, 121, 3851, 0.444356, 0, 0.1, 0, 0.2, 0, 0.7
119, 122, 3851, 0.499826, 0, 0.1, 0, 0.7, 0.1, 0.1
120, 123, 3851, 0.454444, 0.5, 0.1, 0, 0, 0.3, 0.1
121, 124, 3851, 0.43509, 0, 0.2, 0, 0, 0.5, 0.3
122, 125, 3851, 0.370867, 0.5, 0.2, 0, 0, 0, 0.3
123, 126, 3851, 0.384488, 0.4, 0.1, 0.3, 0.2, 0, 0
124, 127, 3851, 0.445604, 0.1, 0.2, 0, 0, 0.5, 0.2
125, 128, 3851, 0.415174, 0.5, 0.1, 0, 0.3, 0, 0.1
126, 130, 3851, 0.405223, 0.4, 0, 0.6, 0, 0, 0
127, 131, 3851, 0.424373, 0.1, 0, 0.3, 0.2, 0.4, 0
128, 132, 3851, 0.470999, 0.2, 0, 0, 0.5, 0.3, 0
129, 133, 3851, 0.460335, 0.3, 0.1, 0, 0.4, 0, 0.2
130, 134, 3851, 0.401593, 0.6, 0.1, 0.2, 0, 0, 0.1
131, 135, 3851, 0.404781, 0.4, 0.1, 0.3, 0, 0, 0.2
132, 136, 3851, 0.456606, 0.5, 0, 0, 0.1, 0.3, 0.1
133, 137, 3851, 0.449443, 0.3, 0.1, 0, 0.2, 0, 0.4
134, 138, 3851, 0.456565, 0.1, 0, 0.2, 0.3, 0, 0.4
135, 139, 3851, 0.435137, 0.1, 0.5, 0, 0, 0.1, 0.3
136, 140, 3851, 0.438205, 0, 0.1, 0.2, 0.2, 0.5, 0
137, 141, 3851, 0.457546, 0.2, 0, 0.1, 0, 0.2, 0.5
138, 142, 3851, 0.449821, 0.1, 0, 0.3, 0.1, 0, 0.5
139, 143, 3851, 0.43132, 0.5, 0, 0.4, 0.1, 0, 0
140, 144, 3851, 0.441095, 0, 0.6, 0, 0.1, 0, 0.3
141, 145, 3851, 0.418188, 0, 0.4, 0.1, 0, 0, 0.5
142, 146, 3851, 0.439054, 0, 0.5, 0, 0, 0.4, 0.1
143, 147, 3851, 0.466258, 0.2, 0, 0, 0.4, 0.4, 0
144, 148, 3851, 0.462462, 0, 0, 0, 0, 0.2, 0.8
145, 149, 3851, 0.420782, 0, 0, 0.8, 0, 0, 0.2
146, 150, 3851, 0.430449, 0.2, 0, 0.8, 0, 0, 0
147, 151, 3851, 0.434386, 0.2, 0, 0.4, 0, 0.2, 0.2
148, 152, 3851, 0.433456, 0, 0.6, 0.2, 0.2, 0, 0
149, 153, 3851, 0.436583, 0.8, 0, 0, 0.2, 0, 0
150, 154, 3851, 0.430153, 0, 0.4, 0.2, 0.2, 0.2, 0
151, 155, 3851, 0.486503, 0.2, 0, 0, 0.8, 0, 0
152, 156, 3851, 0.437287, 0, 0.4, 0.2, 0.2, 0, 0.2
153, 157, 3851, 0.462895, 0, 0.2, 0, 0.2, 0.6, 0
154, 158, 3851, 0.493265, 0, 0, 0, 0.2, 0.2, 0.6
155, 159, 3851, 0.455403, 0.2, 0.2, 0, 0, 0.4, 0.2
156, 160, 3851, 0.427393, 0.2, 0.2, 0.2, 0.4, 0, 0
157, 161, 3851, 0.440578, 0, 0.2, 0.2, 0.4, 0.2, 0
158, 162, 3851, 0.385511, 0.8, 0.2, 0, 0, 0, 0
159, 163, 3851, 0.436946, 0.2, 0, 0.2, 0, 0, 0.6
160, 164, 3851, 0.410387, 0, 0.2, 0.8, 0, 0, 0
161, 165, 3851, 0.407906, 0.2, 0.4, 0.2, 0, 0, 0.2
162, 166, 3851, 0.443038, 0.2, 0.4, 0, 0, 0.2, 0.2
163, 167, 3851, 0.461563, 0.6, 0, 0, 0.2, 0, 0.2
164, 168, 3851, 0.519138, 0.2, 0, 0, 0.6, 0, 0.2
165, 169, 3851, 0.458082, 0, 0, 0.2, 0.6, 0, 0.2
166, 170, 3851, 0.407111, 0.4, 0.2, 0, 0.2, 0.2, 0
167, 171, 3851, 0.433153, 0.2, 0.2, 0, 0.4, 0.2, 0
168, 172, 3851, 0.418017, 0.2, 0.2, 0.2, 0, 0.4, 0
169, 173, 3851, 0.465733, 0, 0, 0, 0, 1, 0
170, 174, 3851, 0.42837, 0.5, 0.3, 0, 0, 0.1, 0.1
171, 175, 3851, 0.397041, 0.3, 0.2, 0.2, 0.3, 0, 0
172, 176, 3851, 0.473868, 0, 0, 0, 0.1, 0.4, 0.5
173, 177, 3851, 0.458145, 0.6, 0, 0, 0.3, 0.1, 0
174, 178, 3851, 0.479966, 0, 0.1, 0, 0.2, 0.7, 0
175, 179, 3851, 0.492637, 0, 0, 0, 0.1, 0.2, 0.7
176, 180, 3851, 0.465761, 0.1, 0.4, 0, 0.2, 0.3, 0
177, 181, 3851, 0.374257, 0.4, 0.4, 0, 0, 0, 0.2
178, 182, 3851, 0.433745, 0, 0.2, 0.1, 0.2, 0.5, 0
179, 183, 3851, 0.395311, 0.3, 0.4, 0.2, 0.1, 0, 0
180, 184, 3851, 0.49145, 0, 0, 0, 0.5, 0.4, 0.1
181, 185, 3851, 0.393599, 0.4, 0.4, 0.2, 0, 0, 0
182, 186, 3851, 0.476793, 0.4, 0, 0, 0.1, 0, 0.5
183, 187, 3851, 0.460017, 0.2, 0, 0.3, 0.2, 0, 0.3
184, 188, 3851, 0.472397, 0.1, 0, 0.1, 0, 0.3, 0.5
185, 189, 3851, 0.453968, 0, 0.1, 0, 0.5, 0.3, 0.1
186, 190, 3851, 0.425995, 0.1, 0, 0.5, 0.1, 0, 0.3
187, 191, 3851, 0.445918, 0.2, 0, 0.2, 0, 0.3, 0.3
188, 192, 3851, 0.397554, 0.5, 0.1, 0, 0.1, 0, 0.3
189, 194, 3851, 0.468412, 0.6, 0, 0, 0, 0.1, 0.3
190, 195, 3851, 0.447082, 0, 0, 0.3, 0.7, 0, 0
191, 196, 3851, 0.419895, 0.1, 0, 0.4, 0, 0.5, 0
192, 197, 3851, 0.456574, 0, 0, 0.2, 0.1, 0.1, 0.6
193, 198, 3851, 0.463236, 0.2, 0, 0, 0.1, 0.5, 0.2
194, 199, 3851, 0.420772, 0.1, 0.1, 0.5, 0.3, 0, 0
195, 200, 3851, 0.461226, 0.1, 0, 0.1, 0.6, 0.2, 0
196, 201, 3851, 0.427058, 0, 0.1, 0.4, 0, 0.1, 0.4
197, 202, 3851, 0.416785, 0.1, 0.1, 0.6, 0, 0.2, 0
198, 203, 3851, 0.42949, 0.3, 0, 0.4, 0.2, 0.1, 0
199, 204, 3851, 0.450035, 0.1, 0.3, 0, 0.2, 0, 0.4
200, 205, 3851, 0.466872, 0, 0, 0, 0.1, 0, 0.9
201, 206, 3851, 0.424686, 0.1, 0.1, 0.6, 0.2, 0, 0
202, 207, 3851, 0.461278, 0, 0.3, 0, 0.1, 0.3, 0.3
203, 208, 3851, 0.432625, 0, 0.4, 0.2, 0, 0.1, 0.3
204, 209, 3851, 0.440145, 0, 0.3, 0.2, 0.5, 0, 0
205, 210, 3851, 0.453159, 0.2, 0, 0.3, 0.4, 0, 0.1
206, 211, 3851, 0.494518, 0, 0.2, 0, 0.4, 0.3, 0.1
207, 212, 3851, 0.428763, 0, 0, 1, 0, 0, 0
208, 213, 3851, 0.424406, 0.6, 0, 0.2, 0, 0.2, 0
209, 214, 3851, 0.497583, 0, 0, 0, 1, 0, 0
210, 215, 3851, 0.419104, 0.2, 0.2, 0.4, 0, 0, 0.2
211, 216, 3851, 0.431614, 0, 0, 0.2, 0, 0.6, 0.2
212, 217, 3851, 0.429312, 0.6, 0, 0.2, 0, 0, 0.2
213, 218, 3851, 0.429369, 0, 0.8, 0, 0, 0, 0.2
214, 219, 3851, 0.421495, 0.2, 0.4, 0, 0.2, 0.2, 0
215, 220, 3851, 0.462421, 0, 0.6, 0, 0.2, 0, 0.2
216, 221, 3851, 0.43202, 0, 0.8, 0.2, 0, 0, 0
217, 222, 3851, 0.464793, 0, 0, 0.2, 0.4, 0.2, 0.2
218, 223, 3851, 0.478761, 0.2, 0, 0, 0.2, 0.6, 0
219, 224, 3851, 0.486437, 0.2, 0, 0, 0, 0.2, 0.6
220, 225, 3851, 0.444362, 0, 0.2, 0.2, 0, 0.2, 0.4
221, 226, 3851, 0.451698, 0.2, 0.2, 0, 0, 0.2, 0.4
222, 227, 3851, 0.45201, 0, 0, 0.2, 0.2, 0.6, 0
223, 228, 3851, 0.38431, 0.6, 0.2, 0, 0, 0, 0.2
224, 229, 3851, 0.434623, 0.2, 0, 0.6, 0, 0, 0.2
225, 230, 3851, 0.445844, 0, 0.6, 0, 0, 0.2, 0.2
226, 231, 3851, 0.435243, 0, 0, 0.6, 0, 0.2, 0.2
227, 232, 3851, 0.434863, 0, 0.4, 0.2, 0, 0.2, 0.2
228, 233, 3851, 0.453116, 0, 0.2, 0.2, 0.6, 0, 0
229, 234, 3851, 0.444126, 0.2, 0.2, 0, 0.2, 0.4, 0
230, 235, 3851, 0.459411, 0, 0.2, 0, 0, 0.2, 0.6
231, 236, 3851, 0.430498, 0.2, 0, 0.2, 0, 0.6, 0
232, 237, 3851, 0.485883, 0, 0, 0, 0, 0, 1
233, 238, 3851, 0.466899, 0, 0, 0.1, 0.7, 0.1, 0.1
234, 239, 3851, 0.43434, 0.1, 0, 0.9, 0, 0, 0
235, 240, 3851, 0.42593, 0.2, 0.3, 0.1, 0, 0.4, 0
236, 241, 3851, 0.482987, 0, 0.2, 0, 0.1, 0.3, 0.4
237, 242, 3851, 0.420873, 0, 0.6, 0.1, 0, 0.1, 0.2
238, 243, 3851, 0.420089, 0.7, 0.1, 0, 0, 0.2, 0
239, 244, 3851, 0.402395, 0.3, 0.3, 0, 0.2, 0.2, 0
240, 245, 3851, 0.416044, 0.5, 0, 0.2, 0, 0.3, 0
241, 246, 3851, 0.391897, 0.4, 0.1, 0.1, 0, 0, 0.4
242, 247, 3851, 0.450164, 0, 0, 0.2, 0.2, 0.1, 0.5
243, 248, 3851, 0.417795, 0.2, 0.1, 0.3, 0, 0, 0.4
244, 249, 3851, 0.445184, 0, 0, 0, 0.1, 0.6, 0.3
245, 250, 3851, 0.40571, 0.2, 0.3, 0.3, 0, 0, 0.2
246, 251, 3851, 0.445518, 0.1, 0.2, 0, 0.2, 0, 0.5
247, 252, 3851, 0.494467, 0.3, 0, 0, 0.3, 0, 0.4
248, 253, 3851, 0.437393, 0, 0, 0.5, 0.2, 0.2, 0.1
249, 254, 3851, 0.400225, 0.3, 0.2, 0.5, 0, 0, 0
250, 255, 3851, 0.44457, 0.4, 0, 0.1, 0, 0, 0.5
251, 256, 3851, 0.430483, 0, 0, 0.2, 0.1, 0.7, 0
252, 258, 3851, 0.391028, 0.8, 0.1, 0, 0, 0, 0.1
253, 259, 3851, 0.425386, 0, 0.1, 0.1, 0, 0, 0.8
254, 260, 3851, 0.478916, 0.2, 0, 0, 0.3, 0.4, 0.1
255, 261, 3851, 0.398971, 0.4, 0.4, 0, 0.2, 0, 0
256, 262, 3851, 0.45305, 0, 0.1, 0.1, 0.2, 0.6, 0
257, 263, 3851, 0.475725, 0, 0.5, 0, 0.4, 0, 0.1
258, 264, 3851, 0.497639, 0.1, 0, 0, 0.6, 0.3, 0
259, 265, 3851, 0.437326, 0.1, 0.5, 0, 0, 0.2, 0.2
260, 266, 3851, 0.459156, 0.1, 0, 0, 0.1, 0.6, 0.2
261, 267, 3851, 0.448774, 0, 0.1, 0.2, 0.6, 0, 0.1
262, 268, 3851, 0.446659, 0.1, 0.5, 0, 0.2, 0.2, 0
263, 269, 3851, 0.450209, 0.1, 0, 0.3, 0.5, 0, 0.1
264, 270, 3851, 0.452008, 0, 0.2, 0, 0, 0.1, 0.7
265, 271, 3851, 0.427936, 0.7, 0, 0, 0, 0, 0.3
266, 272, 3851, 0.405119, 0.2, 0.4, 0, 0.3, 0.1, 0
267, 273, 3851, 0.444579, 0.7, 0, 0, 0.2, 0.1, 0
268, 274, 3851, 0.419485, 0.1, 0.6, 0.2, 0, 0, 0.1
269, 275, 3851, 0.479471, 0.2, 0, 0, 0.3, 0.5, 0
270, 276, 3851, 0.456413, 0, 0, 0.2, 0.2, 0, 0.6
271, 277, 3851, 0.437837, 0, 0.2, 0.2, 0.2, 0.4, 0
272, 278, 3851, 0.433321, 0, 0, 0.2, 0, 0.8, 0
273, 279, 3851, 0.429717, 0, 0.2, 0.2, 0, 0.4, 0.2
274, 280, 3851, 0.426503, 0.2, 0, 0.2, 0.4, 0.2, 0
275, 281, 3851, 0.450969, 0.2, 0, 0.4, 0.2, 0, 0.2
276, 282, 3851, 0.475531, 0.2, 0, 0, 0.2, 0.4, 0.2
277, 283, 3851, 0.471561, 0, 0.2, 0, 0.2, 0.4, 0.2
278, 284, 3851, 0.45253, 0, 0.8, 0, 0, 0.2, 0
279, 285, 3851, 0.43986, 0.2, 0.2, 0, 0.6, 0, 0
280, 286, 3851, 0.43672, 0.2, 0, 0.2, 0.2, 0.4, 0
281, 287, 3851, 0.509065, 0, 0, 0, 0.6, 0.2, 0.2
282, 288, 3851, 0.398974, 0.6, 0.2, 0.2, 0, 0, 0
283, 289, 3851, 0.456235, 0, 0, 0.2, 0.8, 0, 0
284, 290, 3851, 0.393706, 0.2, 0.6, 0, 0, 0, 0.2
285, 291, 3851, 0.403231, 0.2, 0.2, 0, 0, 0, 0.6
286, 292, 3851, 0.470649, 0, 0, 0, 0.2, 0, 0.8
287, 293, 3851, 0.464944, 0, 0.2, 0, 0.2, 0, 0.6
288, 294, 3851, 0.455376, 0, 0, 0.2, 0.6, 0.2, 0
289, 295, 3851, 0.421255, 0, 0.2, 0, 0, 0, 0.8
290, 296, 3851, 0.432405, 0, 0, 0.6, 0.2, 0, 0.2
291, 297, 3851, 0.445818, 0, 1, 0, 0, 0, 0
292, 298, 3851, 0.459634, 0.2, 0, 0.2, 0.4, 0, 0.2
293, 299, 3851, 0.505199, 0, 0.2, 0, 0.8, 0, 0
294, 300, 3851, 0.488588, 0.2, 0, 0, 0.6, 0.2, 0
295, 301, 3851, 0.421533, 0.2, 0.2, 0.4, 0, 0.2, 0
296, 302, 3851, 0.500218, 0, 0.3, 0, 0.3, 0.2, 0.2
297, 303, 3851, 0.442227, 0.5, 0, 0.1, 0.1, 0, 0.3
298, 304, 3851, 0.419582, 0.1, 0.4, 0.4, 0, 0.1, 0
299, 305, 3851, 0.489677, 0.1, 0.1, 0, 0.5, 0, 0.3
300, 306, 3851, 0.441838, 0.2, 0, 0.3, 0, 0.2, 0.3
301, 307, 3851, 0.414434, 0, 0.1, 0.7, 0, 0.2, 0
302, 308, 3851, 0.442554, 0.3, 0, 0.1, 0.1, 0, 0.5
303, 309, 3851, 0.454546, 0.3, 0, 0.1, 0.5, 0, 0.1
304, 310, 3851, 0.439188, 0.2, 0, 0.1, 0, 0, 0.7
305, 311, 3851, 0.45885, 0.1, 0, 0.1, 0, 0.1, 0.7
306, 312, 3851, 0.406302, 0, 0.1, 0.8, 0, 0, 0.1
307, 313, 3851, 0.473873, 0, 0, 0.1, 0.3, 0.2, 0.4
308, 314, 3851, 0.443626, 0, 0, 0.3, 0.3, 0.4, 0
309, 315, 3851, 0.486158, 0, 0, 0, 0.4, 0.4, 0.2
310, 316, 3851, 0.443232, 0.8, 0, 0, 0.1, 0, 0.1
311, 317, 3851, 0.389744, 0.7, 0.2, 0, 0, 0.1, 0
312, 318, 3851, 0.449957, 0.3, 0, 0, 0, 0.6, 0.1
313, 319, 3851, 0.421244, 0, 0.1, 0.6, 0.1, 0, 0.2
314, 320, 3851, 0.432039, 0.2, 0.1, 0.2, 0.5, 0, 0
315, 322, 3851, 0.434808, 0, 0.4, 0, 0, 0.5, 0.1
316, 323, 3851, 0.412748, 0.3, 0.2, 0.4, 0, 0, 0.1
317, 324, 3851, 0.398595, 0.5, 0.2, 0, 0.3, 0, 0
318, 325, 3851, 0.402962, 0.4, 0.4, 0, 0, 0.2, 0
319, 326, 3851, 0.467278, 0, 0.4, 0, 0.3, 0, 0.3
320, 327, 3851, 0.445593, 0.5, 0, 0.3, 0, 0.1, 0.1
321, 328, 3851, 0.424409, 0.4, 0.1, 0, 0.1, 0, 0.4
322, 329, 3851, 0.482704, 0.2, 0, 0, 0.1, 0.4, 0.3
323, 330, 3851, 0.493334, 0, 0, 0, 0.2, 0.1, 0.7
324, 331, 3851, 0.458227, 0.1, 0, 0, 0.1, 0.7, 0.1
325, 332, 3851, 0.387725, 0.4, 0.5, 0.1, 0, 0, 0
326, 333, 3851, 0.423577, 0, 0, 0.8, 0.1, 0.1, 0
327, 334, 3851, 0.417241, 0, 0.5, 0.2, 0.1, 0.2, 0
328, 335, 3851, 0.428909, 0, 0.1, 0.2, 0.1, 0.6, 0
329, 336, 3851, 0.444499, 0.2, 0, 0.1, 0, 0.5, 0.2
330, 337, 3851, 0.49042, 0, 0.2, 0, 0.5, 0.2, 0.1
331, 338, 3851, 0.488736, 0, 0.1, 0, 0.4, 0.5, 0
332, 339, 3851, 0.43694, 0, 0.2, 0.3, 0.4, 0.1, 0
333, 340, 3851, 0.444711, 0.2, 0, 0.2, 0, 0.4, 0.2
334, 341, 3851, 0.474701, 0, 0.4, 0, 0.2, 0.2, 0.2
335, 342, 3851, 0.424953, 0.2, 0, 0.6, 0, 0.2, 0
336, 343, 3851, 0.412899, 0, 0.2, 0.6, 0, 0.2, 0
337, 344, 3851, 0.425649, 0, 0, 0.8, 0.2, 0, 0
338, 345, 3851, 0.445971, 0.2, 0.2, 0, 0.2, 0, 0.4
339, 346, 3851, 0.420382, 0, 0.2, 0.2, 0, 0, 0.6
340, 347, 3851, 0.464341, 0.2, 0, 0.2, 0.2, 0, 0.4
341, 348, 3851, 0.41923, 0.2, 0.2, 0.6, 0, 0, 0
342, 349, 3851, 0.457214, 0, 0.8, 0, 0.2, 0, 0
343, 350, 3851, 0.443415, 0.2, 0, 0, 0, 0, 0.8
344, 351, 3851, 0.43093, 0, 0.2, 0.4, 0.2, 0, 0.2
345, 352, 3851, 0.405948, 0.2, 0.6, 0, 0.2, 0, 0
346, 353, 3851, 0.487887, 0, 0.2, 0, 0.2, 0.2, 0.4
347, 354, 3851, 0.429831, 0.6, 0, 0.2, 0.2, 0, 0
