, sample_no, plate_id, Eta.V_ave, Ni.PM.Loading, Fe.PM.Loading, Co.PM.Loading, Mn.PM.Loading, Ce.PM.Loading, La.PM.Loading
119, 122, 3496, 0.473222, 0, 0.1, 0, 0.7, 0.1, 0.1
120, 123, 3496, 0.384216, 0.5, 0.1, 0, 0, 0.3, 0.1
121, 124, 3496, 0.5138, 0, 0.2, 0, 0, 0.5, 0.3
122, 125, 3496, 0.408155, 0.5, 0.2, 0, 0, 0, 0.3
123, 126, 3496, 0.369848, 0.4, 0.1, 0.3, 0.2, 0, 0
124, 127, 3496, 0.433376, 0.1, 0.2, 0, 0, 0.5, 0.2
125, 128, 3496, 0.379891, 0.5, 0.1, 0, 0.3, 0, 0.1
126, 130, 3496, 0.388183, 0.4, 0, 0.6, 0, 0, 0
127, 131, 3496, 0.434484, 0.1, 0, 0.3, 0.2, 0.4, 0
128, 132, 3496, 0.395859, 0.2, 0, 0, 0.5, 0.3, 0
129, 133, 3496, 0.386092, 0.3, 0.1, 0, 0.4, 0, 0.2
130, 134, 3496, 0.359856, 0.6, 0.1, 0.2, 0, 0, 0.1
131, 135, 3496, 0.387792, 0.4, 0.1, 0.3, 0, 0, 0.2
132, 136, 3496, 0.401174, 0.5, 0, 0, 0.1, 0.3, 0.1
133, 137, 3496, 0.410992, 0.3, 0.1, 0, 0.2, 0, 0.4
134, 138, 3496, 0.441783, 0.1, 0, 0.2, 0.3, 0, 0.4
135, 139, 3496, 0.411041, 0.1, 0.5, 0, 0, 0.1, 0.3
136, 140, 3496, 0.437384, 0, 0.1, 0.2, 0.2, 0.5, 0
137, 141, 3496, 0.485118, 0.2, 0, 0.1, 0, 0.2, 0.5
138, 142, 3496, 0.444278, 0.1, 0, 0.3, 0.1, 0, 0.5
139, 143, 3496, 0.384845, 0.5, 0, 0.4, 0.1, 0, 0
140, 144, 3496, 0.424967, 0, 0.6, 0, 0.1, 0, 0.3
141, 145, 3496, 0.433133, 0, 0.4, 0.1, 0, 0, 0.5
142, 146, 3496, 0.410027, 0, 0.5, 0, 0, 0.4, 0.1
143, 147, 3496, 0.441036, 0.2, 0, 0, 0.4, 0.4, 0
144, 148, 3496, 0.494179, 0, 0, 0, 0, 0.2, 0.8
145, 149, 3496, 0.418516, 0, 0, 0.8, 0, 0, 0.2
146, 150, 3496, 0.421227, 0.2, 0, 0.8, 0, 0, 0
147, 151, 3496, 0.385279, 0.2, 0, 0.4, 0, 0.2, 0.2
148, 152, 3496, 0.409107, 0, 0.6, 0.2, 0.2, 0, 0
149, 153, 3496, 0.401629, 0.8, 0, 0, 0.2, 0, 0
150, 154, 3496, 0.402662, 0, 0.4, 0.2, 0.2, 0.2, 0
151, 155, 3496, 0.408688, 0.2, 0, 0, 0.8, 0, 0
152, 156, 3496, 0.401062, 0, 0.4, 0.2, 0.2, 0, 0.2
153, 157, 3496, 0.457815, 0, 0.2, 0, 0.2, 0.6, 0
154, 158, 3496, 0.540292, 0, 0, 0, 0.2, 0.2, 0.6
155, 159, 3496, 0.379359, 0.2, 0.2, 0, 0, 0.4, 0.2
156, 160, 3496, 0.386306, 0.2, 0.2, 0.2, 0.4, 0, 0
157, 161, 3496, 0.421259, 0, 0.2, 0.2, 0.4, 0.2, 0
158, 162, 3496, 0.372498, 0.8, 0.2, 0, 0, 0, 0
159, 163, 3496, 0.464485, 0.2, 0, 0.2, 0, 0, 0.6
160, 164, 3496, 0.391588, 0, 0.2, 0.8, 0, 0, 0
161, 165, 3496, 0.392784, 0.2, 0.4, 0.2, 0, 0, 0.2
162, 166, 3496, 0.364424, 0.2, 0.4, 0, 0, 0.2, 0.2
163, 167, 3496, 0.397849, 0.6, 0, 0, 0.2, 0, 0.2
164, 168, 3496, 0.398081, 0.2, 0, 0, 0.6, 0, 0.2
165, 169, 3496, 0.438584, 0, 0, 0.2, 0.6, 0, 0.2
166, 170, 3496, 0.363441, 0.4, 0.2, 0, 0.2, 0.2, 0
167, 171, 3496, 0.393507, 0.2, 0.2, 0, 0.4, 0.2, 0
168, 172, 3496, 0.374174, 0.2, 0.2, 0.2, 0, 0.4, 0
169, 173, 3496, 0.746227, 0, 0, 0, 0, 1, 0
170, 174, 3496, 0.364649, 0.5, 0.3, 0, 0, 0.1, 0.1
171, 175, 3496, 0.371696, 0.3, 0.2, 0.2, 0.3, 0, 0
172, 176, 3496, 0.440113, 0, 0, 0, 0.1, 0.4, 0.5
173, 177, 3496, 0.433885, 0.6, 0, 0, 0.3, 0.1, 0
174, 178, 3496, 0.462252, 0, 0.1, 0, 0.2, 0.7, 0
175, 179, 3496, 0.439149, 0, 0, 0, 0.1, 0.2, 0.7
176, 180, 3496, 0.39678, 0.1, 0.4, 0, 0.2, 0.3, 0
177, 181, 3496, 0.373372, 0.4, 0.4, 0, 0, 0, 0.2
178, 182, 3496, 0.432062, 0, 0.2, 0.1, 0.2, 0.5, 0
179, 183, 3496, 0.367285, 0.3, 0.4, 0.2, 0.1, 0, 0
180, 184, 3496, 0.494006, 0, 0, 0, 0.5, 0.4, 0.1
181, 185, 3496, 0.370314, 0.4, 0.4, 0.2, 0, 0, 0
182, 186, 3496, 0.442358, 0.4, 0, 0, 0.1, 0, 0.5
183, 187, 3496, 0.443213, 0.2, 0, 0.3, 0.2, 0, 0.3
184, 188, 3496, 0.492967, 0.1, 0, 0.1, 0, 0.3, 0.5
185, 189, 3496, 0.498275, 0, 0.1, 0, 0.5, 0.3, 0.1
186, 190, 3496, 0.422308, 0.1, 0, 0.5, 0.1, 0, 0.3
187, 191, 3496, 0.413574, 0.2, 0, 0.2, 0, 0.3, 0.3
188, 192, 3496, 0.393198, 0.5, 0.1, 0, 0.1, 0, 0.3
189, 194, 3496, 0.412412, 0.6, 0, 0, 0, 0.1, 0.3
190, 195, 3496, 0.460053, 0, 0, 0.3, 0.7, 0, 0
191, 196, 3496, 0.39768, 0.1, 0, 0.4, 0, 0.5, 0
192, 197, 3496, 0.439384, 0, 0, 0.2, 0.1, 0.1, 0.6
193, 198, 3496, 0.507677, 0.2, 0, 0, 0.1, 0.5, 0.2
194, 199, 3496, 0.391872, 0.1, 0.1, 0.5, 0.3, 0, 0
195, 200, 3496, 0.384869, 0.1, 0, 0.1, 0.6, 0.2, 0
196, 201, 3496, 0.427899, 0, 0.1, 0.4, 0, 0.1, 0.4
197, 202, 3496, 0.387455, 0.1, 0.1, 0.6, 0, 0.2, 0
198, 203, 3496, 0.38273, 0.3, 0, 0.4, 0.2, 0.1, 0
199, 204, 3496, 0.417433, 0.1, 0.3, 0, 0.2, 0, 0.4
200, 205, 3496, 0.527526, 0, 0, 0, 0.1, 0, 0.9
201, 206, 3496, 0.389305, 0.1, 0.1, 0.6, 0.2, 0, 0
202, 207, 3496, 0.436969, 0, 0.3, 0, 0.1, 0.3, 0.3
203, 208, 3496, 0.390095, 0, 0.4, 0.2, 0, 0.1, 0.3
204, 209, 3496, 0.408534, 0, 0.3, 0.2, 0.5, 0, 0
205, 210, 3496, 0.410962, 0.2, 0, 0.3, 0.4, 0, 0.1
206, 211, 3496, 0.485345, 0, 0.2, 0, 0.4, 0.3, 0.1
207, 212, 3496, 0.425417, 0, 0, 1, 0, 0, 0
208, 213, 3496, 0.390825, 0.6, 0, 0.2, 0, 0.2, 0
209, 214, 3496, 0.516629, 0, 0, 0, 1, 0, 0
210, 215, 3496, 0.393866, 0.2, 0.2, 0.4, 0, 0, 0.2
211, 216, 3496, 0.398809, 0, 0, 0.2, 0, 0.6, 0.2
212, 217, 3496, 0.384269, 0.6, 0, 0.2, 0, 0, 0.2
213, 218, 3496, 0.410959, 0, 0.8, 0, 0, 0, 0.2
214, 219, 3496, 0.372496, 0.2, 0.4, 0, 0.2, 0.2, 0
215, 220, 3496, 0.419122, 0, 0.6, 0, 0.2, 0, 0.2
216, 221, 3496, 0.413309, 0, 0.8, 0.2, 0, 0, 0
217, 222, 3496, 0.458703, 0, 0, 0.2, 0.4, 0.2, 0.2
218, 223, 3496, 0.504607, 0.2, 0, 0, 0.2, 0.6, 0
219, 224, 3496, 0.450979, 0.2, 0, 0, 0, 0.2, 0.6
220, 225, 3496, 0.408177, 0, 0.2, 0.2, 0, 0.2, 0.4
221, 226, 3496, 0.400702, 0.2, 0.2, 0, 0, 0.2, 0.4
222, 227, 3496, 0.453651, 0, 0, 0.2, 0.2, 0.6, 0
223, 228, 3496, 0.365318, 0.6, 0.2, 0, 0, 0, 0.2
224, 229, 3496, 0.416669, 0.2, 0, 0.6, 0, 0, 0.2
225, 230, 3496, 0.401074, 0, 0.6, 0, 0, 0.2, 0.2
226, 231, 3496, 0.404889, 0, 0, 0.6, 0, 0.2, 0.2
227, 232, 3496, 0.370068, 0, 0.4, 0.2, 0, 0.2, 0.2
228, 233, 3496, 0.419995, 0, 0.2, 0.2, 0.6, 0, 0
229, 234, 3496, 0.401551, 0.2, 0.2, 0, 0.2, 0.4, 0
230, 235, 3496, 0.491234, 0, 0.2, 0, 0, 0.2, 0.6
231, 236, 3496, 0.382337, 0.2, 0, 0.2, 0, 0.6, 0
232, 237, 3496, 0.478364, 0, 0, 0, 0, 0, 1
233, 238, 3496, 0.427831, 0, 0, 0.1, 0.7, 0.1, 0.1
234, 239, 3496, 0.434714, 0.1, 0, 0.9, 0, 0, 0
235, 240, 3496, 0.372146, 0.2, 0.3, 0.1, 0, 0.4, 0
236, 241, 3496, 0.468874, 0, 0.2, 0, 0.1, 0.3, 0.4
237, 242, 3496, 0.38737, 0, 0.6, 0.1, 0, 0.1, 0.2
238, 243, 3496, 0.366525, 0.7, 0.1, 0, 0, 0.2, 0
239, 244, 3496, 0.366296, 0.3, 0.3, 0, 0.2, 0.2, 0
240, 245, 3496, 0.38668, 0.5, 0, 0.2, 0, 0.3, 0
241, 246, 3496, 0.419364, 0.4, 0.1, 0.1, 0, 0, 0.4
242, 247, 3496, 0.50629, 0, 0, 0.2, 0.2, 0.1, 0.5
243, 248, 3496, 0.424215, 0.2, 0.1, 0.3, 0, 0, 0.4
244, 249, 3496, 0.635603, 0, 0, 0, 0.1, 0.6, 0.3
245, 250, 3496, 0.403334, 0.2, 0.3, 0.3, 0, 0, 0.2
246, 251, 3496, 0.479478, 0.1, 0.2, 0, 0.2, 0, 0.5
247, 252, 3496, 0.483283, 0.3, 0, 0, 0.3, 0, 0.4
248, 253, 3496, 0.40119, 0, 0, 0.5, 0.2, 0.2, 0.1
249, 254, 3496, 0.386701, 0.3, 0.2, 0.5, 0, 0, 0
250, 255, 3496, 0.458906, 0.4, 0, 0.1, 0, 0, 0.5
251, 256, 3496, 0.418755, 0, 0, 0.2, 0.1, 0.7, 0
252, 258, 3496, 0.353377, 0.8, 0.1, 0, 0, 0, 0.1
253, 259, 3496, 0.474137, 0, 0.1, 0.1, 0, 0, 0.8
254, 260, 3496, 0.418325, 0.2, 0, 0, 0.3, 0.4, 0.1
255, 261, 3496, 0.351561, 0.4, 0.4, 0, 0.2, 0, 0
256, 262, 3496, 0.466144, 0, 0.1, 0.1, 0.2, 0.6, 0
257, 263, 3496, 0.436523, 0, 0.5, 0, 0.4, 0, 0.1
258, 264, 3496, 0.37441, 0.1, 0, 0, 0.6, 0.3, 0
259, 265, 3496, 0.38162, 0.1, 0.5, 0, 0, 0.2, 0.2
260, 266, 3496, 0.514452, 0.1, 0, 0, 0.1, 0.6, 0.2
261, 267, 3496, 0.391671, 0, 0.1, 0.2, 0.6, 0, 0.1
262, 268, 3496, 0.389584, 0.1, 0.5, 0, 0.2, 0.2, 0
263, 269, 3496, 0.410783, 0.1, 0, 0.3, 0.5, 0, 0.1
264, 270, 3496, 0.479084, 0, 0.2, 0, 0, 0.1, 0.7
265, 271, 3496, 0.380669, 0.7, 0, 0, 0, 0, 0.3
266, 272, 3496, 0.36242, 0.2, 0.4, 0, 0.3, 0.1, 0
267, 273, 3496, 0.382088, 0.7, 0, 0, 0.2, 0.1, 0
268, 274, 3496, 0.385725, 0.1, 0.6, 0.2, 0, 0, 0.1
269, 275, 3496, 0.453381, 0.2, 0, 0, 0.3, 0.5, 0
270, 276, 3496, 0.459188, 0, 0, 0.2, 0.2, 0, 0.6
271, 277, 3496, 0.42677, 0, 0.2, 0.2, 0.2, 0.4, 0
272, 278, 3496, 0.400964, 0, 0, 0.2, 0, 0.8, 0
273, 279, 3496, 0.364923, 0, 0.2, 0.2, 0, 0.4, 0.2
274, 280, 3496, 0.413808, 0.2, 0, 0.2, 0.4, 0.2, 0
275, 281, 3496, 0.41356, 0.2, 0, 0.4, 0.2, 0, 0.2
276, 282, 3496, 0.461906, 0.2, 0, 0, 0.2, 0.4, 0.2
277, 283, 3496, 0.481955, 0, 0.2, 0, 0.2, 0.4, 0.2
278, 284, 3496, 0.402409, 0, 0.8, 0, 0, 0.2, 0
279, 285, 3496, 0.390066, 0.2, 0.2, 0, 0.6, 0, 0
280, 286, 3496, 0.418352, 0.2, 0, 0.2, 0.2, 0.4, 0
281, 287, 3496, 0.502986, 0, 0, 0, 0.6, 0.2, 0.2
282, 288, 3496, 0.374345, 0.6, 0.2, 0.2, 0, 0, 0
283, 289, 3496, 0.431584, 0, 0, 0.2, 0.8, 0, 0
284, 290, 3496, 0.388822, 0.2, 0.6, 0, 0, 0, 0.2
285, 291, 3496, 0.41114, 0.2, 0.2, 0, 0, 0, 0.6
286, 292, 3496, 0.529479, 0, 0, 0, 0.2, 0, 0.8
287, 293, 3496, 0.485993, 0, 0.2, 0, 0.2, 0, 0.6
288, 294, 3496, 0.415257, 0, 0, 0.2, 0.6, 0.2, 0
289, 295, 3496, 0.473152, 0, 0.2, 0, 0, 0, 0.8
290, 296, 3496, 0.434503, 0, 0, 0.6, 0.2, 0, 0.2
291, 297, 3496, 0.44857, 0, 1, 0, 0, 0, 0
292, 298, 3496, 0.418021, 0.2, 0, 0.2, 0.4, 0, 0.2
293, 299, 3496, 0.515112, 0, 0.2, 0, 0.8, 0, 0
294, 300, 3496, 0.403284, 0.2, 0, 0, 0.6, 0.2, 0
295, 301, 3496, 0.382889, 0.2, 0.2, 0.4, 0, 0.2, 0
296, 302, 3496, 0.445838, 0, 0.3, 0, 0.3, 0.2, 0.2
297, 303, 3496, 0.416199, 0.5, 0, 0.1, 0.1, 0, 0.3
298, 304, 3496, 0.390238, 0.1, 0.4, 0.4, 0, 0.1, 0
299, 305, 3496, 0.403356, 0.1, 0.1, 0, 0.5, 0, 0.3
300, 306, 3496, 0.42029, 0.2, 0, 0.3, 0, 0.2, 0.3
301, 307, 3496, 0.394723, 0, 0.1, 0.7, 0, 0.2, 0
302, 308, 3496, 0.487206, 0.3, 0, 0.1, 0.1, 0, 0.5
303, 309, 3496, 0.435816, 0.3, 0, 0.1, 0.5, 0, 0.1
304, 310, 3496, 0.541853, 0.2, 0, 0.1, 0, 0, 0.7
305, 311, 3496, 0.538976, 0.1, 0, 0.1, 0, 0.1, 0.7
306, 312, 3496, 0.395182, 0, 0.1, 0.8, 0, 0, 0.1
307, 313, 3496, 0.483912, 0, 0, 0.1, 0.3, 0.2, 0.4
308, 314, 3496, 0.424069, 0, 0, 0.3, 0.3, 0.4, 0
309, 315, 3496, 0.479672, 0, 0, 0, 0.4, 0.4, 0.2
310, 316, 3496, 0.411245, 0.8, 0, 0, 0.1, 0, 0.1
311, 317, 3496, 0.340468, 0.7, 0.2, 0, 0, 0.1, 0
312, 318, 3496, 0.453327, 0.3, 0, 0, 0, 0.6, 0.1
313, 319, 3496, 0.403719, 0, 0.1, 0.6, 0.1, 0, 0.2
314, 320, 3496, 0.387722, 0.2, 0.1, 0.2, 0.5, 0, 0
315, 322, 3496, 0.433022, 0, 0.4, 0, 0, 0.5, 0.1
316, 323, 3496, 0.36499, 0.3, 0.2, 0.4, 0, 0, 0.1
317, 324, 3496, 0.357659, 0.5, 0.2, 0, 0.3, 0, 0
318, 325, 3496, 0.345217, 0.4, 0.4, 0, 0, 0.2, 0
319, 326, 3496, 0.447779, 0, 0.4, 0, 0.3, 0, 0.3
320, 327, 3496, 0.384979, 0.5, 0, 0.3, 0, 0.1, 0.1
321, 328, 3496, 0.397798, 0.4, 0.1, 0, 0.1, 0, 0.4
322, 329, 3496, 0.478604, 0.2, 0, 0, 0.1, 0.4, 0.3
323, 330, 3496, 0.486371, 0, 0, 0, 0.2, 0.1, 0.7
324, 331, 3496, 0.45405, 0.1, 0, 0, 0.1, 0.7, 0.1
325, 332, 3496, 0.372226, 0.4, 0.5, 0.1, 0, 0, 0
326, 333, 3496, 0.405143, 0, 0, 0.8, 0.1, 0.1, 0
327, 334, 3496, 0.38699, 0, 0.5, 0.2, 0.1, 0.2, 0
328, 335, 3496, 0.425866, 0, 0.1, 0.2, 0.1, 0.6, 0
329, 336, 3496, 0.389221, 0.2, 0, 0.1, 0, 0.5, 0.2
330, 337, 3496, 0.46192, 0, 0.2, 0, 0.5, 0.2, 0.1
331, 338, 3496, 0.461197, 0, 0.1, 0, 0.4, 0.5, 0
332, 339, 3496, 0.40344, 0, 0.2, 0.3, 0.4, 0.1, 0
333, 340, 3496, 0.37316, 0.2, 0, 0.2, 0, 0.4, 0.2
334, 341, 3496, 0.442214, 0, 0.4, 0, 0.2, 0.2, 0.2
335, 342, 3496, 0.400456, 0.2, 0, 0.6, 0, 0.2, 0
336, 343, 3496, 0.388923, 0, 0.2, 0.6, 0, 0.2, 0
337, 344, 3496, 0.425508, 0, 0, 0.8, 0.2, 0, 0
338, 345, 3496, 0.421957, 0.2, 0.2, 0, 0.2, 0, 0.4
339, 346, 3496, 0.437639, 0, 0.2, 0.2, 0, 0, 0.6
340, 347, 3496, 0.459539, 0.2, 0, 0.2, 0.2, 0, 0.4
341, 348, 3496, 0.393882, 0.2, 0.2, 0.6, 0, 0, 0
342, 349, 3496, 0.467662, 0, 0.8, 0, 0.2, 0, 0
343, 350, 3496, 0.502802, 0.2, 0, 0, 0, 0, 0.8
344, 351, 3496, 0.406466, 0, 0.2, 0.4, 0.2, 0, 0.2
345, 352, 3496, 0.381156, 0.2, 0.6, 0, 0.2, 0, 0
346, 353, 3496, 0.495265, 0, 0.2, 0, 0.2, 0.2, 0.4
347, 354, 3496, 0.398956, 0.6, 0, 0.2, 0.2, 0, 0
